,col,,
490,319,,
491,382,,
492,352.5,,
493,258.5,,
494,174,,
495,46.5,,
496,1.5,,
497,0,,
498,0,,
499,0,,
500,0,,
501,0,,
502,0,,
503,0,,
504,0,,
505,0,,
506,0,,
507,0,,
508,0,,
509,0,,
510,0,,
511,0,,
512,92.5,,
513,811,,
514,1730,,
515,2395,,
516,2320,,
517,1938.5,,
518,1083,,
519,316.5,,
520,17.5,,
521,5,,
522,0.5,,
523,0,,
524,0,,
525,0,,
526,0,,
527,0,,
528,0,,
529,0,,
530,0,,
531,0,,
532,0,,
533,0,,
534,1,,
535,0,,
536,18.5,,
537,193,,
538,391.5,,
539,884,,
540,1115,,
541,1059.5,,
542,732.5,,
543,291.5,,
544,16.5,,
545,0.5,,
546,0,,
547,0,,
548,0,,
549,0,,
550,0,,
551,0,,
552,0,,
553,0,,
554,0,,
555,0,,
556,0,,
557,0,,
558,0,,
559,0,,
560,19,,
561,156.5,,
562,420,,
563,634.5,,
564,762,,
565,992.5,,
566,810.5,,
567,412.5,,
568,45,,
569,0,,
570,0,,
571,0,,
572,0,,
573,0,,
574,0,,
575,0,,
576,0,,
577,0,,
578,0,,
579,0,,
580,0,,
581,0,,
582,0,,
583,0,,
584,314.5,,
585,1745,,
586,3210,,
587,3790,,
588,3640,,
589,2777.5,,
590,1955,,
591,811.5,,
592,74,,
593,3,,
594,1,,
595,0.5,,
596,0,,
597,0,,
598,0,,
599,0,,
600,0,,
601,0,,
602,0,,
603,0,,
604,0,,
605,0,,
606,1.5,,
607,0.5,,
608,186.5,,
609,1034.5,,
610,2190,,
611,3145,,
612,3400,,
613,2810,,
614,2170,,
615,792,,
616,54.5,,
617,4.5,,
618,1.5,,
619,0.5,,
620,0,,
621,0,,
622,0,,
623,0,,
624,0,,
625,0,,
626,0,,
627,0,,
628,0,,
629,0,,
630,1.5,,
631,15,,
632,191.5,,
633,601.5,,
634,877.5,,
635,790.5,,
636,679.5,,
637,537.5,,
638,433.5,,
639,198,,
640,13.5,,
641,0,,
642,0,,
643,0,,
644,0,,
645,0,,
646,0,,
647,0,,
648,0,,
649,0,,
650,0,,
651,0,,
652,0,,
653,0,,
654,0,,
655,0,,
656,108.5,,
657,680,,
658,1515,,
659,1865,,
660,1955,,
661,1350,,
662,1121.5,,
663,437,,
664,42.5,,
665,0,,
666,0,,
667,0,,
668,0,,
669,0,,
670,0,,
671,0,,
672,0,,
673,0,,
674,0,,
675,0,,
676,0,,
677,0,,
678,0,,
679,1.5,,
680,127,,
681,553,,
682,853,,
683,1160,,
684,1510,,
685,1403.5,,
686,1695,,
687,1064,,
688,151,,
689,15.4,,
690,6.6,,
691,0,,
692,0,,
693,0,,
694,0,,
695,0,,
696,0,,
697,0,,
698,0,,
699,0,,
700,0,,
701,0,,
702,0,,
703,5,,
704,493.5,,
705,1860,,
706,3145,,
707,3760,,
708,3810,,
709,3067.5,,
710,1775,,
711,729.5,,
712,76.5,,
713,7,,
714,0,,
715,0,,
716,0,,
717,0,,
718,0,,
719,0,,
720,0,,
721,0,,
722,0,,
723,0,,
724,0,,
725,0,,
726,1,,
727,1,,
728,83.5,,
729,656,,
730,1490,,
731,2240,,
732,2660,,
733,2547,,
734,2440,,
735,1302.5,,
736,196,,
737,5.5,,
738,0,,
739,0.5,,
740,0,,
741,0,,
742,0,,
743,0,,
744,0,,
745,0,,
746,0,,
747,0,,
748,0,,
749,0,,
750,0.5,,
751,6,,
752,605.5,,
753,2030,,
754,3400,,
755,4185,,
756,4110,,
757,3237.5,,
758,2335,,
759,1230.5,,
760,228,,
761,2.5,,
762,1,,
763,0,,
764,0,,
765,0,,
766,0,,
767,0,,
768,0,,
769,0,,
770,0,,
771,0,,
772,0,,
773,0,,
774,1.5,,
775,2.5,,
776,365.5,,
777,1545,,
778,2870,,
779,3820,,
780,3580,,
781,3088.5,,
782,2250,,
783,1138.5,,
784,185.5,,
785,5,,
786,1.5,,
787,0,,
788,0,,
789,0,,
790,0,,
791,0,,
792,0,,
793,0,,
794,0,,
795,0,,
796,0,,
797,0,,
798,1,,
799,12,,
800,83.5,,
801,414.5,,
802,885,,
803,1150,,
804,1130,,
805,901.5,,
806,768,,
807,437,,
808,78.5,,
809,4.5,,
810,3,,
811,1.5,,
812,0,,
813,0,,
814,0,,
815,0,,
816,0,,
817,0,,
818,0,,
819,0,,
820,0,,
821,0,,
822,0,,
823,4,,
824,460.5,,
825,1775,,
826,3100,,
827,3880,,
828,3465,,
829,2926.5,,
830,1735,,
831,935,,
832,183,,
833,8.5,,
834,3,,
835,0,,
836,0,,
837,0,,
838,0,,
839,0,,
840,0,,
841,0,,
842,0,,
843,0,,
844,0,,
845,0,,
846,0,,
847,7,,
848,510.5,,
849,1645,,
850,2660,,
851,3230,,
852,3135,,
853,3033.5,,
854,1935,,
855,1070.5,,
856,217.5,,
857,1,,
858,0.5,,
859,0,,
860,0,,
861,0,,
862,0,,
863,0,,
864,0,,
865,0,,
866,0,,
867,0,,
868,0,,
869,0,,
870,0,,
871,4.5,,
872,399.5,,
873,1380,,
874,2235,,
875,2740,,
876,2715,,
877,2544,,
878,1640,,
879,886,,
880,186.5,,
881,3.5,,
882,0.5,,
883,0.5,,
884,0,,
885,0,,
886,0,,
887,0,,
888,0,,
889,0,,
890,0,,
891,0,,
892,0,,
893,0,,
894,1.5,,
895,14,,
896,861.5,,
897,2610,,
898,4115,,
899,5190,,
900,5320,,
901,4291,,
902,2875,,
903,1270,,
904,195,,
905,3,,
906,0.5,,
907,0,,
908,0,,
909,0,,
910,0,,
911,0,,
912,0,,
913,0,,
914,0,,
915,0,,
916,0,,
917,0,,
918,1.5,,
919,34,,
920,615,,
921,1505,,
922,2150,,
923,2420,,
924,2110,,
925,1444.5,,
926,1053.5,,
927,526.5,,
928,95,,
