,col
520,17.5
521,5.0
522,0.5
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,1.0
535,0.0
536,18.5
537,193.0
538,391.5
539,884.0
540,1115.0
541,1059.5
542,732.5
543,291.5
544,16.5
545,0.5
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,19.0
561,156.5
562,420.0
563,634.5
564,762.0
565,992.5
566,810.5
567,412.5
568,45.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,314.5
585,1745.0
586,3210.0
587,3790.0
588,3640.0
589,2777.5
590,1955.0
591,811.5
592,74.0
593,3.0
594,1.0
595,0.5
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,1.5
607,0.5
608,186.5
609,1034.5
610,2190.0
611,3145.0
612,3400.0
613,2810.0
614,2170.0
615,792.0
616,54.5
617,4.5
618,1.5
619,0.5
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,1.5
631,15.0
632,191.5
633,601.5
634,877.5
635,790.5
636,679.5
637,537.5
638,433.5
639,198.0
640,13.5
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,108.5
657,680.0
658,1515.0
659,1865.0
660,1955.0
661,1350.0
662,1121.5
663,437.0
664,42.5
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,1.5
680,127.0
681,553.0
682,853.0
683,1160.0
684,1510.0
685,1403.5
686,1695.0
687,1064.0
688,151.0
689,15.4
690,6.6000000000000005
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,5.0
704,493.5
705,1860.0
706,3145.0
707,3760.0
708,3810.0
709,3067.5
710,1775.0
711,729.5
712,76.5
713,7.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,1.0
727,1.0
728,83.5
729,656.0
730,1490.0
731,2240.0
732,2660.0
733,2547.0
734,2440.0
735,1302.5
736,196.0
737,5.5
738,0.0
739,0.5
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.5
751,6.0
752,605.5
753,2030.0
754,3400.0
755,4185.0
756,4110.0
757,3237.5
758,2335.0
759,1230.5
760,228.0
761,2.5
762,1.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,1.5
775,2.5
776,365.5
777,1545.0
778,2870.0
779,3820.0
780,3580.0
781,3088.5
782,2250.0
783,1138.5
784,185.5
785,5.0
786,1.5
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,1.0
799,12.0
800,83.5
801,414.5
802,885.0
803,1150.0
804,1130.0
805,901.5
806,768.0
807,437.0
808,78.5
809,4.5
810,3.0
811,1.5
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,4.0
824,460.5
825,1775.0
826,3100.0
827,3880.0
828,3465.0
829,2926.5
830,1735.0
831,935.0
832,183.0
833,8.5
834,3.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,7.0
848,510.5
849,1645.0
850,2660.0
851,3230.0
852,3135.0
853,3033.5
854,1935.0
855,1070.5
856,217.5
857,1.0
858,0.5
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,4.5
872,399.5
873,1380.0
874,2235.0
875,2740.0
876,2715.0
877,2544.0
878,1640.0
879,886.0
880,186.5
881,3.5
882,0.5
883,0.5
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,1.5
895,14.0
896,861.5
897,2610.0
898,4115.0
899,5190.0
900,5320.0
901,4291.0
902,2875.0
903,1270.0
904,195.0
905,3.0
906,0.5
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,1.5
919,34.0
920,615.0
921,1505.0
922,2150.0
923,2420.0
924,2110.0
925,1444.5
926,1053.5
927,526.5
928,95.0
929,5.0
930,2.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,1.5
943,6.0
944,415.0
945,1400.0
946,2500.0
947,3200.0
948,3555.0
949,3437.0
950,3095.0
951,1995.0
952,578.0
953,16.5
954,0.5
955,0.5
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,53.0
968,300.5
969,655.5
970,1019.5
971,1200.0
972,1185.0
973,734.75
974,875.5
975,438.5
976,81.5
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,63.5
992,1081.5
993,2740.0
994,3775.0
995,4195.0
996,4080.0
997,3551.5
998,2940.0
999,1685.0
1000,533.0
1001,27.5
1002,12.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,1.5
1015,78.0
1016,1278.5
1017,3040.0
1018,4525.0
1019,5265.0
1020,5205.0
1021,4310.0
1022,3355.0
1023,2150.0
1024,672.5
1025,6.5
1026,2.0
1027,1.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,2.5
1039,20.5
1040,233.0
1041,598.0
1042,1031.0
1043,1465.0
1044,1765.0
1045,1713.5
1046,1825.0
1047,1555.0
1048,644.5
1049,11.5
1050,1.0
1051,0.5
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,71.0
1064,553.5
1065,1085.0
1066,1235.0
1067,1160.0
1068,998.5
1069,783.0
1070,481.5
1071,204.0
1072,34.0
1073,7.0
1074,3.5
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,72.5
1088,1209.5
1089,2805.0
1090,4280.0
1091,5390.0
1092,5620.0
1093,5085.0
1094,4200.0
1095,2570.0
1096,903.5
1097,24.0
1098,9.0
1099,0.0
1100,0.0
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,0.0
1110,1.0
1111,154.0
1112,1645.0
1113,3395.0
1114,4725.0
1115,5540.0
1116,5465.0
1117,5043.0
1118,3695.0
1119,1980.0
1120,545.5
1121,14.5
1122,3.0
1123,2.0
1124,0.5
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,1.0
1135,123.5
1136,897.0
1137,2080.0
1138,3360.0
1139,4240.0
1140,4495.0
1141,3950.5
1142,3350.0
1143,2160.0
1144,693.0
1145,21.0
1146,5.5
1147,0.5
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1152,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1157,0.0
1158,0.5
1159,75.0
1160,692.5
1161,1390.0
1162,2185.0
1163,2630.0
1164,2610.0
1165,2288.0
1166,1290.0
1167,674.0
1168,186.0
1169,4.0
1170,1.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,1.5
1183,6.0
1184,122.5
1185,393.5
1186,702.5
1187,1062.0
1188,1260.0
1189,1465.0
1190,970.5
1191,572.5
1192,210.5
1193,8.5
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,82.5
1208,998.0
1209,2190.0
1210,3160.0
1211,3795.0
1212,4370.0
1213,4536.0
1214,3480.0
1215,2240.0
1216,919.0
1217,60.5
1218,5.0
1219,1.5
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.5
1231,114.5
1232,908.5
1233,1955.0
1234,2820.0
1235,3290.0
1236,3290.0
1237,3447.0
1238,2290.0
1239,1485.0
1240,586.0
1241,34.0
1242,4.5
1243,1.0
1244,0.0
1245,0.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,1.5
1255,98.5
1256,888.0
1257,2000.0
1258,2695.0
1259,3250.0
1260,3690.0
1261,4104.5
1262,3290.0
1263,2405.0
1264,1005.0
1265,53.0
1266,1.5
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,1.0
1279,205.5
1280,1435.0
1281,2930.0
1282,4135.0
1283,4420.0
1284,4535.0
1285,4732.5
1286,3700.0
1287,2470.0
1288,1012.5
1289,58.0
1290,5.5
1291,3.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,1.0
1303,350.0
1304,1880.0
1305,3735.0
1306,5445.0
1307,6670.0
1308,7070.0
1309,6453.5
1310,5360.0
1311,3670.0
1312,1600.0
1313,151.5
1314,8.0
1315,2.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,2.5
1327,328.0
1328,2015.0
1329,3930.0
1330,5600.0
1331,6855.0
1332,7280.0
1333,6721.5
1334,5805.0
1335,4070.0
1336,1940.0
1337,182.0
1338,13.0
1339,9.5
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,4.0
1351,212.0
1352,1375.0
1353,2700.0
1354,3545.0
1355,3710.0
1356,3600.0
1357,4133.5
1358,2805.0
1359,1860.0
1360,834.5
1361,81.5
1362,2.5
1363,0.5
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,0.5
1375,213.0
1376,1181.0
1377,2200.0
1378,2905.0
1379,3525.0
1380,4197.5
1381,4390.0
1382,3365.0
1383,2450.0
1384,1176.5
1385,122.0
1386,3.0
1387,0.5
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,2.0
1399,126.0
1400,833.0
1401,1840.0
1402,2890.0
1403,3480.0
1404,3610.0
1405,4448.0
1406,3020.0
1407,2105.0
1408,944.0
1409,99.0
1410,2.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,11.5
1423,33.0
1424,215.0
1425,464.5
1426,787.5
1427,804.5
1428,820.0
1429,1383.0
1430,730.5
1431,446.0
1432,168.5
1433,8.0
1434,1.5
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.5
1446,0.0
1447,70.0
1448,333.5
1449,640.5
1450,1050.0
1451,1105.0
1452,1115.0
1453,1343.5
1454,771.0
1455,466.5
1456,180.0
1457,15.0
1458,4.5
1459,0.5
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,72.5
1472,316.5
1473,732.0
1474,1355.0
1475,1622.5
1476,1750.0
1477,2177.0
1478,1115.0
1479,723.0
1480,289.0
1481,34.5
1482,3.0
1483,0.5
1484,2.0
1485,4.5
1486,1.5
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.5
1494,2.0
1495,202.0
1496,822.0
1497,1515.0
1498,1880.0
1499,2205.0
1500,2315.0
1501,2824.5
1502,1880.0
1503,1325.0
1504,638.5
1505,86.5
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,4.5
1519,295.5
1520,1144.0
1521,1970.0
1522,2670.0
1523,2915.0
1524,2985.0
1525,2868.0
1526,1690.0
1527,935.5
1528,391.5
1529,43.5
1530,1.0
1531,0.5
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,3.5
1543,227.0
1544,950.0
1545,1800.0
1546,2760.0
1547,3175.0
1548,3035.0
1549,3317.5
1550,2565.0
1551,1890.0
1552,939.0
1553,148.0
1554,2.0
1555,0.5
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,1.5
1565,2.0
1566,3.5
1567,260.5
1568,1410.0
1569,2755.0
1570,3945.0
1571,4640.0
1572,4395.0
1573,4898.0
1574,4080.0
1575,3070.0
1576,1695.0
1577,303.0
1578,3.5
1579,2.5
1580,0.0
1581,0.5
1582,0.5
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,2.5
1590,8.5
1591,499.0
1592,1855.0
1593,2860.0
1594,3625.0
1595,4460.0
1596,5110.0
1597,5277.5
1598,4620.0
1599,3280.0
1600,1640.0
1601,236.0
1602,3.0
1603,2.5
1604,0.5
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,2.0
1614,13.5
1615,541.0
1616,1288.5
1617,2325.0
1618,3150.0
1619,3095.0
1620,2765.0
1621,2304.5
1622,1400.0
1623,777.0
1624,323.0
1625,39.5
1626,3.0
1627,0.5
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,3.5
1639,213.0
1640,570.5
1641,1029.0
1642,1540.0
1643,1730.0
1644,1890.0
1645,2036.0
1646,1760.0
1647,1500.0
1648,969.0
1649,251.0
1650,1.0
1651,0.0
1652,3.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,4.5
1663,277.5
1664,1099.0
1665,2060.0
1666,3050.0
1667,3290.0
1668,2855.0
1669,2551.5
1670,1865.0
1671,1300.0
1672,638.0
1673,105.0
1674,5.5
1675,0.5
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,3.0
1686,5.0
1687,135.0
1688,553.0
1689,927.0
1690,1310.0
1691,1570.0
1692,1525.0
1693,1269.0
1694,1155.0
1695,699.0
1696,372.5
1697,88.0
1698,6.5
1699,2.5
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,15.0
1711,425.0
1712,1570.0
1713,2740.0
1714,3825.0
1715,4125.0
1716,4205.0
1717,4336.5
1718,3930.0
1719,3185.0
1720,1875.0
1721,406.5
1722,9.0
1723,6.0
1724,1.0
1725,0.5
1726,0.5
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,120.0
1735,536.5
1736,1689.5
1737,2761.0
1738,3917.0
1739,4669.5
1740,1865.0
1741,3826.0
1742,2330.0
1743,1640.0
1744,731.0
1745,121.5
1746,1.0
1747,1.0
1748,0.5
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,1.5
1758,5.5
1759,189.0
1760,661.0
1761,1435.0
1762,2220.0
1763,2905.0
1764,2935.0
1765,2793.5
1766,2665.0
1767,1980.0
1768,948.5
1769,216.0
1770,11.0
1771,0.5
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,41.0
1783,507.5
1784,1750.0
1785,2805.0
1786,3750.0
1787,4175.0
1788,4180.0
1789,4202.0
1790,3730.0
1791,2865.0
1792,1570.0
1793,368.0
1794,7.0
1795,3.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.0
1806,3.0
1807,427.5
1808,575.0
1809,1148.5
1810,1890.0
1811,2305.0
1812,2485.0
1813,2550.0
1814,2170.0
1815,1505.0
1816,849.0
1817,199.0
1818,3.0
1819,1.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,6.5
1831,173.5
1832,449.0
1833,805.0
1834,1195.0
1835,1270.0
1836,1285.0
1837,2042.5
1838,929.5
1839,679.5
1840,413.0
1841,99.5
1842,0.5
1843,3.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,51.5
1855,538.5
1856,1450.0
1857,2934.0
1858,4340.0
1859,5875.0
1860,6579.5
1861,6665.5
1862,5579.0
1863,4495.5
1864,3198.5
1865,1500.0
1866,333.0
1867,19.5
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,83.0
1879,742.0
1880,2195.0
1881,3545.0
1882,4210.0
1883,4705.0
1884,4835.0
1885,5058.0
1886,3955.0
1887,2985.0
1888,1840.0
1889,513.0
1890,16.0
1891,2.5
1892,0.5
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.5
1901,2.0
1902,239.5
1903,1298.5
1904,3450.0
1905,5190.0
1906,6195.0
1907,6250.0
1908,6100.0
1909,6083.5
1910,4710.0
1911,3200.0
1912,1650.0
1913,445.0
1914,11.5
1915,4.5
1916,0.5
1917,1.0
1918,0.5
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,1.0
1925,2.5
1926,97.0
1927,744.0
1928,1930.0
1929,2955.0
1930,3445.0
1931,3270.0
