,Company Name,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
71,SSE,Livishie,Hydro,8,405,1,15,15000,1962,2030
72,SSE,Cassley,Hydro,8,406,1,10,10000,1959,2030
73,SSE,Cashlie,Hydro,8,407,1,11,11000,2004,2045
74,SSE,Kingairloch,Hydro,8,424,1,3.5,3500,2005,2046
75,SSE,Kilmelfort,Hydro,8,461,1,2,2000,1956,2030
76,SSE,Dalchonzie,Hydro,8,462,1,4,4000,1958,2030
77,SSE,Lednock,Hydro,8,463,1,3,3000,1961,2030
78,SSE,Lubreoch,Hydro,8,464,1,4,4000,1958,2030
79,SSE,Loch Ericht,Hydro,8,465,1,2.2,2200,1962,2030
80,SSE,Lussa,Hydro,8,466,1,2.4,2400,1952,2030
81,SSE,Mullardoch Tunnel,Hydro,8,467,1,2.4,2400,1955,2030
82,SSE,Achanalt,Hydro,8,468,1,3,3000,1956,2030
83,SSE,Mucomir,Hydro,8,469,1,2,2000,1962,2030
84,SSE,Lairg,Hydro,8,470,1,3.5,3500,1959,2030
85,SSE,Cuaich,Hydro,8,471,1,2.5,2500,1959,2030
86,Scottish Hydro-Electric plc,Cuileig Hydro Scheme,Hydro,8,434,1,3.3,3300,2002,2043
87,Shawater,Innerwick Hydro,Hydro,8,472,1,1,1000,2010,2051
88,Ventient (formerly Infinis),Glen Fyne 'Merk' Hydro,Hydro,8,452,1,1,1000,2015,2056
89,,Turret water treatment works,Hydro,8,419,1,1.9,1900,1952,2030
