,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
81,Oakham Farm,Solar,7,1269,1,8.0,8000,2016,2041
82,Limberlost Farm,Solar,7,1272,1,1.5,1500,2013,2038
83,Office Field,Solar,7,1273,1,7.2,7200,2013,2038
84,Sandys Moor Road,Solar,7,1274,1,2.9,2900,2013,2038
85,Skylark Meadow Solar park,Solar,7,1275,1,5.0,5000,2013,2038
86,Aldi Distribution Centre - Darlington,Solar,7,1278,1,1.2,1200,2014,2039
87,Bishops Sutton,Solar,7,1282,1,12.0,12000,2014,2039
88,Blackawton Solar Farm,Solar,7,1283,1,3.0,3000,2014,2039
89,BMW UK Manufacturing Ltd,Solar,7,1284,1,3.0,3000,2014,2039
90,Land to the East of Burton Lane,Solar,7,1285,1,2.6,2600,2016,2041
91,Land west of Hawkspur Green (Hill Hall Solar),Solar,7,1292,1,4.9,4900,2016,2041
92,Kingspan Insulation Solar Installation,Solar,7,1294,1,5.0,5000,2014,2039
93,Langley Hall Farm,Solar,7,1298,1,2.4,2400,2014,2039
94,Pond Farm,Solar,7,1299,1,3.6,3600,2014,2039
95,Nether Mill Farm (resubmission),Solar,7,1303,1,3.1,3100,2014,2039
96,NEWNTON DAIRY FARM,Solar,7,1304,1,7.2,7200,2014,2039
97,Pierces Farm - resubmission,Solar,7,1306,1,1.7,1700,2015,2040
98,Rew Farm Solar Farm,Solar,7,1308,1,6.1,6100,2014,2039
99,Westbury (Closed) Landfill Site,Solar,7,1314,1,3.5,3500,2014,2039
100,Wiggin Hill Solar Farm - Phase 2,Solar,7,1315,1,4.1,4100,2015,2040
101,Grain Harvesters Ltd,Solar,7,1320,1,1.0,1000,2014,2039
102,Hyde Farm,Solar,7,1322,1,10.8,10800,2014,2039
103,St Francis Farm,Solar,7,1324,1,4.0,4000,2015,2040
104,Bishop?s Waltham Solar Farm,Solar,7,1325,1,12.0,12000,2017,2042
105,Nova Scotia Farm solar park,Solar,7,1328,1,13.9,13900,2014,2039
106,"Hall Farm, East Beckham",Solar,7,1329,1,10.2,10200,2014,2039
107,Cefn Betingau Farm,Solar,7,1330,1,9.0,9000,2014,2039
108,Hill Farm Solar Park (VoWH),Solar,7,1331,1,14.8,14800,2014,2039
109,Wix Lodge,Solar,7,1332,1,18.7,18700,2014,2039
110,Saxley Farm,Solar,7,1333,1,5.0,5000,2014,2039
111,Snarlton Farm (Melksham solar farm),Solar,7,1335,1,49.6,49600,2016,2041
112,Lackford Estate Solar Park,Solar,7,1338,1,20.9,20900,2014,2039
113,Colpmans Farm,Solar,7,1339,1,5.0,5000,2012,2037
114,Porvair International Ltd,Solar,7,1340,1,1.8,1800,2012,2037
115,Willsland Solar farm,Solar,7,1341,1,3.2,3200,2013,2038
116,Frying Down Copse Solar Farm,Solar,7,1342,1,5.0,5000,2012,2037
117,Wilmingham Lane Solar Farm,Solar,7,1343,1,7.0,7000,2013,2038
118,Chilton Cantelo Solar Farm,Solar,7,1344,1,5.0,5000,2013,2038
119,Beaford Brook Solar Park,Solar,7,1346,1,5.2,5200,2013,2038
120,Hayford Farm,Solar,7,1348,1,8.9,8900,2014,2039
121,Halse Farm,Solar,7,1349,1,8.2,8200,2013,2038
122,STRETE FARM SOLAR FARM,Solar,7,1352,1,4.8,4800,2013,2038
123,Tregassow Farm - Solar Modules,Solar,7,1353,1,6.0,6000,2013,2038
124,Higher Hatherleigh Solar Farm extension,Solar,7,1355,1,1.5,1500,2013,2038
125,Pont Andrew Solar Farm,Solar,7,1356,1,1.5,1500,2012,2037
126,Cairnhill Farm solar park,Solar,7,1358,1,2.4,2400,2015,2040
127,Manston Solar Farm extension (Westwood),Solar,7,1359,1,9.2,9200,2014,2039
