,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
356,Westwood Farm Solar Park,Solar,7,1818,1,5.1,5100,2015,2040
357,Meadow Farm solar park,Solar,7,1820,1,6.0,6000,2014,2039
358,Sutton Mawr Farm,Solar,7,1823,1,7.5,7500,2014,2039
359,Carloggas Farm Solar Park,Solar,7,1824,1,8.3,8300,2015,2040
360,Lincoln Farm,Solar,7,1826,1,11.4,11400,2016,2041
361,Llwyn Du Solar Farm,Solar,7,1827,1,8.0,8000,2015,2040
362,West Hill Farm (solar),Solar,7,1828,1,7.3,7300,2014,2039
363,Elms Farm,Solar,7,1832,1,29.0,29000,2015,2040
364,Rock Farm / Goldborough Farm (Rookwood),Solar,7,1834,1,5.0,5000,2015,2040
365,Great Wilbraham Solar Farm,Solar,7,1835,1,38.1,38100,2015,2040
366,Somerton Door Farm,Solar,7,1836,1,8.7,8700,2015,2040
367,Barugh Farm,Solar,7,1838,1,5.0,5000,2016,2041
368,Lains Farm,Solar,7,1840,1,5.0,5000,2016,2041
369,Great Seabrook Farm,Solar,7,1842,1,5.0,5000,2015,2040
370,Cotgrave solar farm,Solar,7,1843,1,4.9,4900,2015,2040
371,Parkview solar park,Solar,7,1846,1,6.5,6500,2015,2040
372,Overton,Solar,7,1848,1,4.0,4000,2015,2040
373,Lower Basset Down Farm,Solar,7,1850,1,10.5,10500,2016,2041
374,Morfa Farm,Solar,7,1862,1,2.0,2000,2016,2041
375,Barton Close Farm,Solar,7,1864,1,5.5,5500,2016,2041
376,Wiggin Hill Solar Farm - Phase 1,Solar,7,1865,1,6.8,6800,2015,2040
377,Wilton Farm (pv),Solar,7,1872,1,9.5,9500,2015,2040
378,Canada Farm,Solar,7,1874,1,8.3,8300,2014,2039
379,Hoback Farm,Solar,7,1875,1,13.1,13100,2014,2039
380,The Rainbows Solar Farm,Solar,7,1876,1,4.0,4000,2014,2039
381,Salcey Solar Farm,Solar,7,1878,1,5.0,5000,2014,2039
382,Hillsmoor Solar Farm,Solar,7,1884,1,1.2,1200,2017,2042
383,Desford Solar Farm,Solar,7,1885,1,5.0,5000,2016,2041
384,Iwood Lane Solar Farm,Solar,7,1886,1,8.0,8000,2014,2039
385,Playters Solar Farm,Solar,7,1889,1,8.6,8600,2016,2041
386,Bypass Nurseries Solar Farm,Solar,7,1890,1,3.3,3300,2014,2039
387,Warrington Home Solar Scheme,Solar,7,1892,1,5.3,5300,2016,2041
388,Babergh Home Solar Scheme,Solar,7,1893,1,2.8,2800,2016,2041
389,Mid Suffolk Home Solar Scheme,Solar,7,1894,1,4.8,4800,2016,2041
390,Garn Solar Farm,Solar,7,1895,1,7.4,7400,2014,2039
391,Trethosa Farm Solar Park,Solar,7,1896,1,4.8,4800,2015,2040
392,Garvinack Farm Solar Park,Solar,7,1897,1,7.0,7000,2015,2040
393,Caswell Farm Solar Park,Solar,7,1898,1,6.7,6700,2016,2041
394,Epwell Grounds Farm solar park,Solar,7,1899,1,7.0,7000,2014,2039
395,Pant-Y-Moch Farm,Solar,7,1900,1,5.0,5000,2016,2041
396,Woolbridge Solar Park,Solar,7,1902,1,5.0,5000,2014,2039
397,Tengore Lane - resubmission,Solar,7,1903,1,3.6,3600,2015,2040
398,Manor Farm (Dorset),Solar,7,1904,1,5.0,5000,2014,2039
399,Hadlow Place solar farm,Solar,7,1905,1,14.3,14300,2015,2040
400,Bassingbourn Solar Farm,Solar,7,1906,1,14.4,14400,2015,2040
401,Lower Pennington Farm,Solar,7,1907,1,2.7,2700,2014,2039
402,Goose Willow Farm - extension,Solar,7,1908,1,7.0,7000,2014,2039
403,Avenue Farm,Solar,7,1909,1,7.3,7300,2015,2040
404,Sywell Road,Solar,7,1910,1,5.0,5000,2017,2042
405,Gosfield Airfield,Solar,7,1912,1,12.6,12600,2015,2040
406,Exning,Solar,7,1913,1,29.9,29900,2015,2040
407,Grange Farm (Avon),Solar,7,1914,1,21.0,21000,2014,2039
408,Land at East Farm - extension,Solar,7,1915,1,6.0,6000,2016,2041
409,Laughton Level,Solar,7,1918,1,7.0,7000,2015,2040
410,Croydon / Church Farm (Royston),Solar,7,1919,1,16.5,16500,2015,2040
411,Hadley Farm (Orta Membury Solar Farm),Solar,7,1920,1,17.0,17000,2015,2040
412,Manor Farm (Wiltshire) - resubmission,Solar,7,1923,1,6.3,6300,2015,2040
413,Tonge Corner Farm,Solar,7,1924,1,22.0,22000,2016,2041
414,Oaklands Farm - resubmission,Solar,7,1925,1,6.9,6900,2015,2040
415,North East of Ainderby Steeple,Solar,7,1927,1,5.9,5900,2017,2042
416,Errol Estate,Solar,7,1930,1,13.0,13000,2016,2041
417,Grange Farm,Solar,7,1931,1,6.0,6000,2015,2040
418,Wraysbury Landfill,Solar,7,1938,1,4.8,4800,2017,2042
419,Wisbridge Farm,Solar,7,1940,1,9.3,9300,2014,2039
420,Caddington Solar Farm (Phase 1),Solar,7,1942,1,3.0,3000,2014,2039
421,Capeland Farm,Solar,7,1943,1,8.3,8300,2015,2040
422,Castle Combe Circuit,Solar,7,1944,1,12.0,12000,2015,2040
423,Castle Eaton Farm,Solar,7,1945,1,17.8,17800,2014,2039
424,Chancery Farm (Ardleigh),Solar,7,1946,1,11.9,11900,2016,2041
425,Clapham solar farm,Solar,7,1947,1,7.5,7500,2016,2041
426,Chelveston Airfield,Solar,7,1949,1,16.0,16000,2014,2039
427,Chisbon Solar Farm (Frowick Lane),Solar,7,1950,1,13.0,13000,2015,2040
428,Clawdd Ddu PV,Solar,7,1951,1,13.5,13500,2014,2039
429,Congresbury Solar Farm,Solar,7,1952,1,7.1,7100,2015,2040
430,Abergelli Glas Solar Farm,Solar,7,1953,1,7.7,7700,2015,2040
431,Anthony Estate Solar Farm - resubmission,Solar,7,1954,1,4.7,4700,2015,2040
432,Aston House Solar Farm,Solar,7,1955,1,20.0,20000,2015,2040
433,Bakers Farm (solar),Solar,7,1957,1,12.0,12000,2015,2040
434,Balls Wood Solar Farm,Solar,7,1958,1,8.7,8700,2015,2040
435,Barn Farm - resubmission,Solar,7,1959,1,4.2,4200,2015,2040
436,Bay Farm,Solar,7,1961,1,8.1,8100,2014,2039
437,Berwick solar farm,Solar,7,1963,1,8.2,8200,2015,2040
438,Bidwell Solar Farm - resubmission,Solar,7,1964,1,5.0,5000,2015,2040
439,Bilsham Farm,Solar,7,1966,1,14.5,14500,2014,2039
440,Blackwell Grange Solar Farm,Solar,7,1968,1,5.0,5000,2017,2042
441,Blenches Mill,Solar,7,1969,1,6.1,6100,2014,2039
442,Bobbing solar farm,Solar,7,1970,1,11.3,11300,2016,2041
443,Bodmin 2 Solar Farm,Solar,7,1971,1,5.3,5300,2015,2040
444,Bottom Plain,Solar,7,1973,1,10.0,10000,2014,2039
445,Braydon Manor Farm,Solar,7,1974,1,8.7,8700,2016,2041
446,Brynwhilach solar park,Solar,7,1975,1,5.0,5000,2017,2042
447,Bulls Head Farm North,Solar,7,1976,1,4.7,4700,2014,2039
448,Burrowton Farm,Solar,7,1978,1,5.0,5000,2016,2041
449,Ebbsfleet Solar Farm,Solar,7,1981,1,5.0,5000,2014,2039
450,Court Colman solar park,Solar,7,1982,1,15.0,15000,2015,2040
451,Cowdown Lane,Solar,7,1983,1,40.0,40000,2016,2041
452,Crannaford Solar Farm,Solar,7,1984,1,12.5,12500,2014,2039
453,Cwmcaesingrug Farm,Solar,7,1985,1,10.0,10000,2015,2040
454,Decoy Farm House Solar Modules,Solar,7,1987,1,6.0,6000,2014,2039
455,Hadley Solar Farm,Solar,7,1990,1,6.6,6600,2015,2040
456,Hall Farm Solar Farm (Newbold Verdon),Solar,7,1991,1,5.0,5000,2015,2040
457,Hammond Court Farm,Solar,7,1992,1,15.0,15000,2015,2040
458,Hatch Penn Farm PV,Solar,7,1994,1,1.0,1000,2014,2039
459,Hayford Farm - extension,Solar,7,1995,1,8.2,8200,2015,2040
460,High Penn Solar Park,Solar,7,1998,1,9.6,9600,2014,2039
461,Highfields Farm (Braintree),Solar,7,1999,1,2.8,2800,2014,2039
462,Highfields Farm (Colchester),Solar,7,2000,1,12.2,12200,2014,2039
463,Hill End Farm,Solar,7,2001,1,2.8,2800,2014,2039
464,Holwell Hill,Solar,7,2004,1,6.0,6000,2016,2041
465,Hook Valley Solar Park,Solar,7,2005,1,17.0,17000,2014,2039
466,Partridge Farm,Solar,7,2006,1,10.6,10600,2016,2041
467,Aspatria,Solar,7,2007,1,19.0,19000,2015,2040
468,Penare Farm Solar Farm,Solar,7,2008,1,11.0,11000,2014,2039
469,Pencoose Farm,Solar,7,2009,1,8.5,8500,2015,2040
470,Pensipple Farm,Solar,7,2010,1,5.0,5000,2014,2039
471,Pingewood Road South,Solar,7,2011,1,15.8,15800,2015,2040
472,Pingry Farm - Phase 1,Solar,7,2012,1,3.4,3400,2014,2039
473,Pitworthy Farm Solar Park,Solar,7,2013,1,15.6,15600,2014,2039
474,Primrose Hill Farm,Solar,7,2014,1,3.7,3700,2015,2040
475,Pyde Drove,Solar,7,2015,1,7.0,7000,2014,2039
476,Race farm,Solar,7,2016,1,6.1,6100,2014,2039
477,Radcliffe Solar Farm,Solar,7,2017,1,4.2,4200,2015,2040
478,Redhall Industrial Estate,Solar,7,2019,1,5.0,5000,2014,2039
479,Ring O Bells Farm,Solar,7,2020,1,5.0,5000,2016,2041
480,Roanhead Farm,Solar,7,2021,1,6.5,6500,2015,2040
481,Rotherdale Farm - extension,Solar,7,2022,1,9.0,9000,2015,2040
482,Roundponds Farm Solar Park,Solar,7,2023,1,13.5,13500,2015,2040
483,Hopton Road Industrial Estate,Solar,7,2024,1,1.3,1300,2014,2039
484,Field House Solar / Hursley Road,Solar,7,2026,1,6.4,6400,2015,2040
485,Kencot Hill Solar Farm (revised application),Solar,7,2027,1,37.0,37000,2014,2039
486,KERNICK MICA DAM - SOLAR FARM,Solar,7,2028,1,12.0,12000,2014,2039
487,Landmead Farm (East Hanney),Solar,7,2030,1,46.0,46000,2014,2039
488,Lower Newton Farm,Solar,7,2032,1,11.5,11500,2015,2040
489,Lower Slade Farm,Solar,7,2033,1,4.1,4100,2015,2040
490,Lower Ufford Lane,Solar,7,2034,1,1.1,1100,2015,2040
491,Lynt Farm,Solar,7,2035,1,27.0,27000,2015,2040
492,Marchington Solar Farm,Solar,7,2036,1,4.3,4300,2016,2041
493,Monksham Solar Farm,Solar,7,2039,1,10.7,10700,2014,2039
494,Moorhouse Lane - resubmission,Solar,7,2040,1,1.8,1800,2015,2040
495,Morton Wood Farm,Solar,7,2041,1,4.8,4800,2016,2041
496,Natewood Farm,Solar,7,2043,1,8.9,8900,2015,2040
497,Netley Landfill Solar,Solar,7,2044,1,12.0,12000,2017,2042
498,New Stone House,Solar,7,2045,1,12.5,12500,2015,2040
499,North Creake Airfield (Resubmission),Solar,7,2046,1,20.0,20000,2014,2039
500,North of Newton Farm,Solar,7,2047,1,3.0,3000,2014,2039
501,Roves Farm (Solar) - resubmission,Solar,7,2049,1,12.7,12700,2015,2040
502,Salhouse Solar Farm,Solar,7,2050,1,5.0,5000,2015,2040
503,Norton Hall,Solar,7,2051,1,2.8,2800,2014,2039
504,Oaklands Plantation,Solar,7,2052,1,5.0,5000,2016,2041
505,Packington Solar Farm,Solar,7,2054,1,13.9,13900,2015,2040
506,SAUNDERCROFT SOLAR FARM,Solar,7,2055,1,7.0,7000,2014,2039
507,Sedbury Park,Solar,7,2056,1,5.0,5000,2015,2040
508,Six Hills Solar Farm,Solar,7,2057,1,18.7,18700,2015,2040
509,South Newton Farm,Solar,7,2058,1,11.3,11300,2014,2039
510,Southdown Quarry,Solar,7,2059,1,1.5,1500,2015,2040
511,Southfield Farm Solar Park (resubmission),Solar,7,2060,1,11.5,11500,2016,2041
512,Spittleborough Farm,Solar,7,2061,1,12.0,12000,2014,2039
513,Stanton solar park,Solar,7,2062,1,5.0,5000,2015,2040
514,Stantway Solar Farm,Solar,7,2063,1,5.0,5000,2014,2039
515,Stonebarrow Farm,Solar,7,2064,1,8.0,8000,2014,2039
516,Stowbridge Farm,Solar,7,2065,1,24.0,24000,2014,2039
517,Stratton Hall Solar Park,Solar,7,2066,1,11.6,11600,2014,2039
518,Sutton Montis Road Solar Park / Sutton Bridge Solar Farm,Solar,7,2067,1,5.4,5400,2015,2040
519,Thame solar farm,Solar,7,2068,1,4.3,4300,2016,2041
520,The Flit,Solar,7,2071,1,10.5,10500,2015,2040
521,The Old Airfield,Solar,7,2072,1,5.0,5000,2015,2040
522,Thorne Farm,Solar,7,2073,1,6.2,6200,2014,2039
523,Tiers Cross Solar Farm,Solar,7,2074,1,24.0,24000,2014,2039
524,Tilmanstone Colliery,Solar,7,2075,1,10.0,10000,2016,2041
525,Toggam Farm,Solar,7,2076,1,12.5,12500,2016,2041
526,Tower Hill Farm,Solar,7,2077,1,8.1,8100,2015,2040
527,Toyota Motor Manufacturing Uk - Deeside,Solar,7,2078,1,3.8,3800,2014,2039
528,Trench Farm,Solar,7,2079,1,7.2,7200,2015,2040
529,Troughton Farm,Solar,7,2080,1,30.0,30000,2016,2041
530,Turweston Solar Farm,Solar,7,2081,1,16.7,16700,2014,2039
531,Upper Farm solar park,Solar,7,2082,1,12.0,12000,2015,2040
532,Upper Huntingford Farm,Solar,7,2083,1,7.7,7700,2016,2041
533,Walnut Yard (Phase 1),Solar,7,2084,1,1.8,1800,2015,2040
534,Water Eaton Farm / Port Farm,Solar,7,2085,1,34.8,34800,2015,2040
535,Wedgehill Farm,Solar,7,2086,1,13.0,13000,2015,2040
536,West Raynham,Solar,7,2088,1,49.9,49900,2015,2040
537,Westerfield Farm - resubmission,Solar,7,2089,1,12.5,12500,2015,2040
538,Westover Farm - resubmission,Solar,7,2090,1,7.0,7000,2014,2039
539,Whitley Farm (1 of 2),Solar,7,2091,1,3.5,3500,2014,2039
540,Whitley Farm (2 of 2),Solar,7,2092,1,3.5,3500,2014,2039
541,Whitton Mawr,Solar,7,2093,1,6.0,6000,2017,2042
542,Winham Farm - resubmission,Solar,7,2095,1,5.0,5000,2015,2040
543,Woden Park,Solar,7,2096,1,5.0,5000,2014,2039
544,West Kingsmill Farm Solar Park,Solar,7,2098,1,1.6,1600,2014,2039
545,Bommertown Solar Farm,Solar,7,2101,1,5.0,5000,2015,2040
546,West Ditchen Farm (resubmission),Solar,7,2102,1,5.0,5000,2016,2041
547,Lower Marsh Farm,Solar,7,2103,1,5.0,5000,2014,2039
548,Bodorgan Solar Farm,Solar,7,2104,1,12.6,12600,2014,2039
549,Chapel Lane Parley Solar Farm Phase 2,Solar,7,2105,1,36.0,36000,2014,2039
550,Arkwright Solar Farm,Solar,7,2107,1,8.0,8000,2015,2040
551,Charity Farm (Burlton Solar Farm),Solar,7,2108,1,11.9,11900,2016,2041
552,Verwood Solar Farm,Solar,7,2109,1,20.4,20400,2015,2040
553,Parciau Farm Solar Park,Solar,7,2110,1,13.9,13900,2015,2040
554,Smith Hall Farm Solar Park,Solar,7,2111,1,5.0,5000,2016,2041
555,Bystock Solar Farm,Solar,7,2112,1,4.1,4100,2015,2040
556,Bedborough Farm,Solar,7,2114,1,7.0,7000,2016,2041
557,Cranham Golf Course Solar Park,Solar,7,2117,1,2.6,2600,2016,2041
558,Hurcott Copse Solar Farm,Solar,7,2118,1,10.0,10000,2015,2040
559,Grange Farm Solar Farm,Solar,7,2120,1,4.9,4900,2013,2038
560,Trehawke Barton (Doddycross) Solar Farm,Solar,7,2121,1,10.6,10600,2014,2039
561,Newton Ferrers solar park,Solar,7,2125,1,19.5,19500,2016,2041
562,Nancrossa Farm solar park,Solar,7,2126,1,6.0,6000,2016,2041
563,Pitts Farm (revised application),Solar,7,2127,1,2.6,2600,2014,2039
564,Walmoor Farm solar park,Solar,7,2128,1,4.0,4000,2015,2040
565,Trequite Farm solar park (resubmission),Solar,7,2129,1,9.9,9900,2014,2039
566,Bentley Estate,Solar,7,2132,1,5.0,5000,2015,2040
567,New Row Farm,Solar,7,2133,1,3.9,3900,2014,2039
568,MALMAYNES HALL FARM,Solar,7,2135,1,12.0,12000,2015,2040
569,Crucis Park,Solar,7,2136,1,12.5,12500,2014,2039
570,Treguff Farm - resubmission,Solar,7,2137,1,4.4,4400,2015,2040
571,Kenardington Place Farm,Solar,7,2138,1,7.0,7000,2015,2040
572,Henbury Quarry,Solar,7,2139,1,3.9,3900,2015,2040
573,Grange Farm (Kirkby on Bain),Solar,7,2140,1,9.0,9000,2015,2040
574,Boxted Airfield,Solar,7,2143,1,18.8,18800,2015,2040
575,Rectory Farm/Emberton,Solar,7,2144,1,9.0,9000,2015,2040
576,St Francis Court Farm,Solar,7,2145,1,4.0,4000,2017,2042
577,Berry Court Farm,Solar,7,2150,1,4.2,4200,2016,2041
578,Walkers Wood Solar Park,Solar,7,2151,1,27.0,27000,2015,2040
579,Odell Glebe Solar Farm,Solar,7,2152,1,16.8,16800,2015,2040
580,Hunstrete (Wilmington Farm),Solar,7,2153,1,2.3,2300,2014,2039
581,Lower Severalls Farm,Solar,7,2154,1,10.8,10800,2017,2042
582,Burton Farm,Solar,7,2157,1,4.4,4400,2015,2040
583,Sundorne Grove,Solar,7,2158,1,20.0,20000,2015,2040
584,Lower End Farm,Solar,7,2159,1,4.9,4900,2015,2040
585,Skegness Solar Park,Solar,7,2160,1,4.9,4900,2015,2040
586,Land north of Temple Normanton,Solar,7,2162,1,4.9,4900,2016,2041
587,Helland Meads - resubmission,Solar,7,2164,1,1.2,1200,2014,2039
588,Crow Trees Farm,Solar,7,2165,1,4.7,4700,2016,2041
589,Priest Weston,Solar,7,2166,1,1.0,1000,2015,2040
590,Horam,Solar,7,2169,1,8.1,8100,2015,2040
591,Turves/Burtnhouse Solar Farm extension,Solar,7,2171,1,4.7,4700,2015,2040
592,Coombe Farm,Solar,7,2173,1,8.0,8000,2015,2040
593,Higher Hill Farm (extension),Solar,7,2174,1,1.5,1500,2016,2041
594,Mount Farm,Solar,7,2175,1,22.0,22000,2016,2041
595,Hafod-Y-Dafal Farm,Solar,7,2176,1,14.0,14000,2015,2040
596,Barr Farm,Solar,7,2178,1,1.8,1800,2015,2040
597,BAE Samlesbury Aerodrome,Solar,7,2179,1,2.0,2000,2015,2040
598,Shoals Hook Farm,Solar,7,2180,1,12.1,12100,2015,2040
599,Manor Farm,Solar,7,2181,1,7.5,7500,2015,2040
600,Littlewood Farm,Solar,7,2182,1,14.0,14000,2015,2040
601,Cherry Tree Farm,Solar,7,2184,1,5.0,5000,2016,2041
602,Lodge Farm,Solar,7,2185,1,2.4,2400,2015,2040
603,Bumpers Farm Phase 1,Solar,7,2186,1,5.0,5000,2017,2042
604,Birch Airfield,Solar,7,2187,1,5.6,5600,2015,2040
605,Gaultney Solar Park,Solar,7,2188,1,20.5,20500,2015,2040
606,Puriton Landfill Solar Farm,Solar,7,2190,1,11.4,11400,2015,2040
607,Hunciecroft Farm,Solar,7,2192,1,8.0,8000,2015,2040
608,Rolleston Park Farm,Solar,7,2196,1,18.7,18700,2015,2040
609,Prestop Park Farm,Solar,7,2200,1,16.0,16000,2015,2040
610,Yardwall Manor,Solar,7,2201,1,3.0,3000,2015,2040
611,Royston Solar Farm (Phase 1) (a),Solar,7,2202,1,5.0,5000,2016,2041
612,MOD Lyneham,Solar,7,2203,1,69.8,69800,2015,2040
613,Deepdale Farm,Solar,7,2204,1,8.0,8000,2016,2041
614,Manor Farm (Horton),Solar,7,2205,1,5.0,5000,2016,2041
615,Penrhiwarwydd Farm,Solar,7,2206,1,8.5,8500,2015,2040
616,Nowhere Farm,Solar,7,2208,1,8.1,8100,2015,2040
617,Langar Lane,Solar,7,2210,1,10.0,10000,2016,2041
618,Pitchford,Solar,7,2211,1,10.2,10200,2015,2040
619,Condover Airfield,Solar,7,2212,1,12.3,12300,2015,2040
620,Askern Colliery solar farm,Solar,7,2213,1,5.0,5000,2015,2040
621,Maesgwyn solar farm,Solar,7,2215,1,7.5,7500,2017,2042
622,Church Farm,Solar,7,2216,1,6.2,6200,2015,2040
623,Folly Farm,Solar,7,2217,1,13.1,13100,2015,2040
624,Stowbridge Farm - Extension (Phase 2),Solar,7,2218,1,10.0,10000,2015,2040
625,Black Peak Farm,Solar,7,2219,1,31.8,31800,2015,2040
626,"Jubilee Farm, Barnby Moor",Solar,7,2221,1,5.0,5000,2017,2042
627,Newnham Estate,Solar,7,2225,1,14.0,14000,2015,2040
628,Wambrook Farm,Solar,7,2226,1,4.1,4100,2015,2040
629,Gawcott Fields Farm,Solar,7,2227,1,9.2,9200,2015,2040
630,Mount Mill Farm - resubmission,Solar,7,2228,1,12.0,12000,2015,2040
631,Handley Park - resubmission,Solar,7,2231,1,5.0,5000,2016,2041
632,Tollgate Farm,Solar,7,2232,1,4.3,4300,2016,2041
633,North Farm (Spetisbury),Solar,7,2233,1,11.6,11600,2015,2040
634,Chapel Lane Parley Solar Farm Phase 3,Solar,7,2234,1,4.0,4000,2015,2040
635,GDL Wymeswold Solar Farm/land off the A6006,Solar,7,2237,1,6.1,6100,2016,2041
636,Hillhouse Farm,Solar,7,2238,1,28.5,28500,2015,2040
637,Gib Lane (Aston Clinton solar park),Solar,7,2239,1,24.2,24200,2015,2040
638,Outwood Farm (Phase 1),Solar,7,2240,1,5.0,5000,2016,2041
639,Raventhorpe Farm,Solar,7,2241,1,38.0,38000,2015,2040
640,Manor Farm (Castle Cary),Solar,7,2242,1,1.8,1800,2017,2042
641,Maes Bach Farm,Solar,7,2243,1,4.9,4900,2015,2040
642,Sheepbridge Court Farm,Solar,7,2244,1,5.0,5000,2015,2040
643,Elton solar farm,Solar,7,2247,1,5.0,5000,2015,2040
644,Cross Roads Plantation,Solar,7,2248,1,5.0,5000,2015,2040
645,Munceys Farm,Solar,7,2249,1,31.6,31600,2015,2040
646,Luscott Barton,Solar,7,2252,1,13.0,13000,2015,2040
647,Kinmel 1 CIC,Solar,7,2253,1,5.0,5000,2016,2041
648,Owls Hatch Road,Solar,7,2255,1,48.0,48000,2015,2040
649,Wilbees Farm (resubmission),Solar,7,2258,1,5.0,5000,2016,2041
650,Winterbrook,Solar,7,2259,1,1.2,1200,2015,2040
651,Welbeck Solar / Hazel Gap,Solar,7,2260,1,16.0,16000,2015,2040
652,Homestead Farm (Alderton),Solar,7,2261,1,17.6,17600,2015,2040
653,Arna Wood Solar,Solar,7,2263,1,6.2,6200,2017,2042
654,Knottingley A,Solar,7,2264,1,5.0,5000,2016,2041
655,Clayhill Farm,Solar,7,2265,1,10.0,10000,2016,2041
656,Paddock Wood,Solar,7,2266,1,9.2,9200,2015,2040
657,Wick Farm (Burnham on Crouch),Solar,7,2268,1,5.0,5000,2015,2040
658,Netherfield Lane,Solar,7,2271,1,19.7,19700,2015,2040
659,Upper Meadowley Farm,Solar,7,2272,1,10.7,10700,2017,2042
660,Wick Farm Solar Park,Solar,7,2274,1,14.6,14600,2016,2041
661,High Leas,Solar,7,2277,1,6.5,6500,2015,2040
662,Atherstone,Solar,7,2278,1,14.7,14700,2015,2040
663,The Elms,Solar,7,2279,1,10.4,10400,2015,2040
664,Hunters Race Solar Park,Solar,7,2280,1,9.3,9300,2014,2039
665,Parham Airfield (Great Glenham),Solar,7,2281,1,17.5,17500,2013,2038
666,Chapel Lane Parley Solar Farm Phase 1,Solar,7,2282,1,20.0,20000,2014,2039
667,Welbeck Colliery,Solar,7,2283,1,11.3,11300,2014,2039
668,Priory Farm,Solar,7,2284,1,3.1,3100,2014,2039
669,Norrington Common Solar Farm,Solar,7,2285,1,10.0,10000,2014,2039
670,Hendre Fawr Farm,Solar,7,2286,1,11.6,11600,2015,2040
671,Northmoor,Solar,7,2288,1,5.0,5000,2015,2040
672,Manor Farm - Shripney,Solar,7,2296,1,5.0,5000,2016,2041
673,Chelwood Solar Farm,Solar,7,2298,1,5.0,5000,2015,2040
674,Manor Farm - Pertenhall,Solar,7,2299,1,15.0,15000,2015,2040
675,Hardingham Solar Farm - extension,Solar,7,2300,1,5.2,5200,2015,2040
676,Brooks Farm Solar Park,Solar,7,2307,1,8.0,8000,2015,2040
677,Christchurch Energy,Solar,7,2308,1,18.0,18000,2015,2040
678,Yarburgh Grove Farm,Solar,7,2309,1,8.1,8100,2015,2040
679,Taplins Farm solar park,Solar,7,2312,1,5.9,5900,2016,2041
680,Homestead Farm,Solar,7,2314,1,10.7,10700,2015,2040
681,The Kickles,Solar,7,2319,1,5.0,5000,2016,2041
682,Eakring Solar Farm,Solar,7,2320,1,11.9,11900,2015,2040
683,Egmanton Solar Farm - resubmission,Solar,7,2321,1,14.2,14200,2015,2040
684,Branston solar park,Solar,7,2323,1,18.9,18900,2015,2040
685,Golden Hill,Solar,7,2325,1,6.2,6200,2015,2040
686,Chapel Hill,Solar,7,2326,1,8.0,8000,2015,2040
687,Pen Rhiw Caradog,Solar,7,2327,1,4.7,4700,2017,2042
688,Vine Farm Solar Park,Solar,7,2329,1,45.0,45000,2016,2041
689,Coombeshead Solar Farm,Solar,7,2331,1,8.0,8000,2015,2040
690,Decoy Farm,Solar,7,2332,1,5.0,5000,2015,2040
691,Easington Farm (Chalgrove),Solar,7,2333,1,21.3,21300,2015,2040
692,Gelliwern Isaf Farm,Solar,7,2334,1,6.0,6000,2015,2040
693,Sawmills Solar Farm,Solar,7,2335,1,6.5,6500,2015,2040
694,Walland Farm,Solar,7,2336,1,5.0,5000,2015,2040
695,Weycock Road,Solar,7,2338,1,7.0,7000,2016,2041
696,Higher Bye Farm,Solar,7,2342,1,6.8,6800,2015,2040
697,Cockhill Solar Farm,Solar,7,2343,1,20.0,20000,2015,2040
698,Bentham Farm,Solar,7,2344,1,8.0,8000,2015,2040
699,Boscombe Airfield,Solar,7,2345,1,12.3,12300,2015,2040
700,Shotwick Solar Farm,Solar,7,2347,1,45.7,45700,2016,2041
701,Winnards Perch Solar Farm,Solar,7,2348,1,3.8,3800,2013,2038
702,Lodge Farm (Poulshot),Solar,7,2351,1,14.5,14500,2015,2040
703,Glebe Farm Solar Energy Park,Solar,7,2352,1,15.0,15000,2015,2040
704,Bryn yr Odyn Solar Farm,Solar,7,2353,1,15.0,15000,2015,2040
705,Rhyd-y-Pandy Solar Farm,Solar,7,2354,1,6.0,6000,2015,2040
706,Saron Road solar park,Solar,7,2355,1,6.7,6700,2015,2040
707,Tiln Farm solar park,Solar,7,2356,1,8.0,8000,2015,2040
708,Langford Solar Farm,Solar,7,2357,1,13.0,13000,2015,2040
709,Stokes Marsh Farm,Solar,7,2358,1,16.6,16600,2015,2040
710,West Hall Solar Farm,Solar,7,2359,1,7.0,7000,2014,2039
711,Stowbridge Farm - Extension (Phase 1),Solar,7,2360,1,10.0,10000,2015,2040
712,Bourne Park (Solar),Solar,7,2361,1,5.0,5000,2015,2040
713,Hall Farm,Solar,7,2362,1,5.1,5100,2015,2040
714,Brynteg Farm,Solar,7,2363,1,16.2,16200,2014,2039
715,Stonepit Farm,Solar,7,2364,1,5.0,5000,2014,2039
716,Yerbeston Gate Farm,Solar,7,2365,1,6.1,6100,2015,2040
717,Grange Farm (Lincolnshire),Solar,7,2366,1,12.7,12700,2015,2040
718,Molehill Farm,Solar,7,2367,1,18.0,18000,2015,2040
719,Pashley Farm,Solar,7,2368,1,11.5,11500,2015,2040
720,Fiskerton Airfield (Phase 1),Solar,7,2369,1,12.0,12000,2015,2040
721,Hendai Farm,Solar,7,2370,1,13.4,13400,2015,2040
722,Bury Lane Fruit Farm,Solar,7,2372,1,24.0,24000,2014,2039
723,Marsh Farm Hilperton,Solar,7,2373,1,9.1,9100,2015,2040
724,Ashlawn Farm,Solar,7,2375,1,6.8,6800,2015,2040
725,Cuckoo Grove Farm,Solar,7,2376,1,6.1,6100,2015,2040
726,Gedling Solar Farm,Solar,7,2377,1,5.7,5700,2015,2040
